report id,entity type,entity value,matched ioc id,feed confidence,feed first seen,feed tactic,analytical relevance
TRN00004,ipv4,198.51.100.5,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00004,domain,node-4-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00004,hash,37786edb666f352e99db,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00005,ipv4,198.51.100.6,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00005,domain,node-5-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00007,ipv4,198.51.100.8,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00007,domain,node-7-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00009,ipv4,198.51.100.10,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00009,domain,node-9-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00009,malware,Sandstorm Loader,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00011,ipv4,198.51.100.12,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00011,domain,node-11-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00011,malware,Sandstorm Loader,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00013,ipv4,198.51.100.14,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00013,domain,node-13-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00013,hash,55934ddf1ff0c071af95,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00013,threat_actor,Red Kudu,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00015,ipv4,198.51.100.16,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00015,domain,node-15-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00015,hash,2956d93c11a9c33c8665,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00015,threat_actor,Copper Dune,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00019,ipv4,198.51.100.20,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00019,domain,node-19-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00023,ipv4,198.51.100.24,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00023,domain,node-23-sync.example,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00023,hash,4c018ed77bbb136bfbda,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00023,threat_actor,Kalahari Jackal,,,,,"Unconfirmed - internal-only entity, no external IOC match"
TRN00031,ipv4,198.51.100.32,,,,,"Unconfirmed - internal-only entity, no external IOC match"
