date,risk probability,failed remote logins,new external ips,suspicious dns queries,critical vulnerabilities,mean patch age days,high severity EDR alerts,OT scan attempts,high relevance threat reports,vendor access sessions,after hours admin actions
14/10/2026,0.964456222,35,6,21,10,75.7,8,10,5,6,8
11/10/2026,0.957529596,15,2,18,9,72.4,8,4,5,7,4
16/10/2026,0.956154997,55,14,38,9,84.5,11,13,12,13,6
15/10/2026,0.949421705,39,8,35,8,61.8,5,11,6,8,7
19/10/2026,0.936549754,38,12,28,13,91.7,12,9,8,8,8
17/10/2026,0.933371519,71,15,50,9,74.2,13,23,13,2,7
18/10/2026,0.917485793,42,10,25,10,97.1,4,4,12,12,6
10/10/2026,0.624785959,16,6,11,7,72,5,0,3,3,2
13/10/2026,0.622681102,24,4,17,8,61.6,7,1,3,7,4
12/10/2026,0.548088406,22,4,13,10,74.2,5,1,0,5,7
